date,open,high,low,close,volume
2019-06-03,300.69,304.26,298.11,301.19,63090987
2019-06-04,296.3,299.46,295.58,297.52,134224224
2019-06-05,300.92,303.47,297.1,300.29,106964003
2019-06-06,303.62,307.03,300.51,303.77,147366407
2019-06-07,295.76,301.04,292.45,296.75,110467223
2019-06-10,291.23,294.19,290.2,292.2,115340481
2019-06-11,290.96,294.94,290.53,292.73,139901320
2019-06-12,293.14,295.37,288.05,291.71,116045223
2019-06-13,291.85,294.24,289.24,291.74,82962233
2019-06-14,287.59,292.18,285.5,288.84,102797985
2019-06-17,293.16,294.3,289.65,291.98,73561308
2019-06-18,293.96,296.2,293.37,294.79,83427341
2019-06-19,293.03,298.56,291.66,295.11,118028152
2019-06-20,300.72,300.72,298.08,299.19,64897782
2019-06-21,300.15,302.34,299.58,300.96,117197810
2019-06-24,297.34,300.97,294.92,297.95,108406334
2019-06-25,299.41,302.86,295.85,299.35,80838417
2019-06-26,297.69,300.03,291.96,296.0,54494140
2019-06-27,299.24,300.87,297.55,299.21,120462497
2019-06-28,297.32,300.15,297.32,299.12,132450256
2019-07-01,299.36,302.85,294.24,298.54,123007421
2019-07-02,295.48,297.38,295.01,296.19,92091169
2019-07-03,303.47,303.47,299.25,300.63,115353508
2019-07-04,300.16,301.9,298.42,300.16,91475422
2019-07-05,295.37,301.36,295.37,298.71,85826010
2019-07-08,298.07,301.55,293.53,297.54,82717085
2019-07-09,302.44,303.09,295.97,299.53,71085279
2019-07-10,303.3,304.3,297.56,300.93,146935388
2019-07-11,305.28,305.28,301.22,302.51,116621399
2019-07-12,302.61,306.19,302.14,304.16,67491695
2019-07-15,313.5,314.64,309.51,312.07,136503854
2019-07-16,309.52,311.86,309.43,310.64,65130782
2019-07-17,309.17,310.54,307.11,308.83,109367843
2019-07-18,303.96,307.74,303.96,305.9,66553150
2019-07-19,307.26,309.38,307.13,308.26,86123262
2019-07-22,311.47,315.39,309.67,312.53,115852748
2019-07-23,313.6,315.68,308.71,312.19,149912165
2019-07-24,310.38,310.38,308.24,309.14,149189531
2019-07-25,306.6,308.7,303.65,306.17,139556385
2019-07-26,306.57,312.41,304.9,308.66,59350661
2019-07-29,311.02,315.15,307.85,311.5,140561739
2019-07-30,312.45,317.58,309.67,313.62,142314834
2019-07-31,312.57,313.65,308.78,311.21,77861655
2019-08-01,314.01,316.13,308.22,312.17,51917678
2019-08-02,314.36,314.36,311.1,312.71,57609038
2019-08-05,312.44,315.72,311.52,313.62,54049895
2019-08-06,312.65,318.35,312.65,316.99,143714747
