case_id,category,method,should_reject,rejected,schema_valid,semantic_consistent,compile_success,backtest_success,risk_violation,repair_triggered,repair_success,safe_rejection_correct,clarification_requested,clarification_correct,end_to_end_success,errors
qsi_001,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_002,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_003,trend_following,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,False,False,
qsi_004,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_005,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_006,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,True,False,False,True,False,False,False,
qsi_007,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_008,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_009,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_010,trend_following,live_direct_code::qwen3.6-flash,False,False,False,False,True,False,False,False,False,True,False,False,False,runtime_error: NameError: name 'str' is not defined
qsi_011,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_012,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_013,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_014,trend_following,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,True,False,False,True,False,False,False,
qsi_015,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,True,False,False,True,False,False,False,
qsi_016,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_017,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,False,False,
qsi_018,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,True,False,False,True,False,False,False,
qsi_019,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_020,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,False,False,
qsi_021,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,False,True,False,False,False,False,True,False,False,False,runtime_error: NameError: name 'enumerate' is not defined
qsi_022,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,False,False,
qsi_023,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,False,False,
qsi_024,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,False,False,
qsi_025,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,False,False,
qsi_026,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_027,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_028,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,False,True,False,False,False,False,True,False,False,False,signal_error: no position change
qsi_029,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_030,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_031,momentum,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_032,momentum,live_direct_code::qwen3.6-flash,False,False,False,False,True,False,False,False,False,True,False,False,False,runtime_error: NameError: name 'isinstance' is not defined
qsi_033,momentum,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_034,momentum,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_035,momentum,live_direct_code::qwen3.6-flash,False,False,False,False,True,False,False,False,False,True,False,False,False,runtime_error: NameError: name 'isinstance' is not defined
qsi_036,momentum,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_037,momentum,live_direct_code::qwen3.6-flash,False,False,False,False,True,False,False,False,False,True,False,False,False,runtime_error: KeyError: 'date'
qsi_038,momentum,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,True,False,False,True,False,False,False,
qsi_039,momentum,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,False,False,
qsi_040,momentum,live_direct_code::qwen3.6-flash,False,False,False,False,True,False,False,False,False,True,False,False,False,runtime_error: AttributeError: 'PeriodIndex' object has no attribute 'dt'
qsi_041,risk_constrained,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_042,risk_constrained,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,True,False,False,True,False,False,False,
qsi_043,risk_constrained,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_044,risk_constrained,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,True,False,False,True,False,False,False,
