case_id,category,method,should_reject,rejected,schema_valid,semantic_consistent,compile_success,backtest_success,risk_violation,repair_triggered,repair_success,safe_rejection_correct,clarification_requested,clarification_correct,end_to_end_success,errors,json_parse_success,qyir_conversion_success,adapter_errors
qsi_006,trend_following,live_simple_json_adapter::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,True,True,
qsi_010,trend_following,live_simple_json_adapter::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,True,True,
qsi_011,trend_following,live_simple_json_adapter::deepseek-v4-flash,False,False,True,True,False,False,False,False,False,True,False,False,False,Entry rule 0 failed: 'float' object has no attribute 'shift',True,True,
qsi_023,mean_reversion,live_simple_json_adapter::deepseek-v4-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule,True,False,adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule
qsi_025,mean_reversion,live_simple_json_adapter::deepseek-v4-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,adapter.indicators: using fallback indicators from strategy_type; adapter.sell_condition: could not map condition to QYIR rule,True,False,adapter.indicators: using fallback indicators from strategy_type; adapter.sell_condition: could not map condition to QYIR rule
qsi_027,mean_reversion,live_simple_json_adapter::deepseek-v4-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule,True,False,adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule
qsi_030,mean_reversion,live_simple_json_adapter::deepseek-v4-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,adapter.sell_condition: could not map condition to QYIR rule,True,False,adapter.sell_condition: could not map condition to QYIR rule
qsi_032,momentum,live_simple_json_adapter::deepseek-v4-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,adapter.indicators: unsupported indicator '120_day_return'; adapter.indicators: using fallback indicators from strategy_type; adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule,True,False,adapter.indicators: unsupported indicator '120_day_return'; adapter.indicators: using fallback indicators from strategy_type; adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule
qsi_036,momentum,live_simple_json_adapter::deepseek-v4-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule,True,False,adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule
qsi_039,momentum,live_simple_json_adapter::deepseek-v4-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,adapter.indicators: unsupported indicator 'price_change_20d'; adapter.indicators: using fallback indicators from strategy_type; adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule,True,False,adapter.indicators: unsupported indicator 'price_change_20d'; adapter.indicators: using fallback indicators from strategy_type; adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule
qsi_044,risk_constrained,live_simple_json_adapter::deepseek-v4-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,adapter.indicators: unsupported indicator 'momentum'; adapter.indicators: using fallback indicators from strategy_type; adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule,True,False,adapter.indicators: unsupported indicator 'momentum'; adapter.indicators: using fallback indicators from strategy_type; adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule
qsi_051,risk_constrained,live_simple_json_adapter::deepseek-v4-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,"adapter.indicators: unsupported indicator 'BollingerBands(20,2)'; adapter.indicators: using fallback indicators from strategy_type; adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule",True,False,"adapter.indicators: unsupported indicator 'BollingerBands(20,2)'; adapter.indicators: using fallback indicators from strategy_type; adapter.buy_condition: could not map condition to QYIR rule; adapter.sell_condition: could not map condition to QYIR rule"
qsi_054,risk_constrained,live_simple_json_adapter::deepseek-v4-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,adapter.indicators: unsupported indicator 'MOM_12M'; adapter.indicators: using fallback indicators from strategy_type; adapter.sell_condition: could not map condition to QYIR rule,True,False,adapter.indicators: unsupported indicator 'MOM_12M'; adapter.indicators: using fallback indicators from strategy_type; adapter.sell_condition: could not map condition to QYIR rule
qsi_059,ambiguous_intent,live_simple_json_adapter::deepseek-v4-flash,False,False,False,True,False,False,False,False,False,True,True,True,True,clarification requested,False,False,
qsi_061,ambiguous_intent,live_simple_json_adapter::deepseek-v4-flash,False,False,False,True,False,False,False,False,False,True,True,True,True,clarification requested,False,False,
