case_id,category,expected_action,builder_success,terminal_correct,indicator_count,entry_rule_count,exit_rule_count,canonicalization_events,errors
qsi_001,trend_following,construct,True,True,2,1,1,4,
qsi_002,trend_following,construct,True,True,2,1,1,4,
qsi_003,trend_following,construct,True,True,2,1,1,4,
qsi_004,trend_following,construct,True,True,2,1,1,4,
qsi_005,trend_following,construct,True,True,2,1,1,4,
qsi_006,trend_following,construct,True,True,2,1,1,4,
qsi_007,trend_following,construct,True,True,2,1,1,4,
qsi_008,trend_following,construct,True,True,2,1,1,4,
qsi_009,trend_following,construct,True,True,2,1,1,4,
qsi_010,trend_following,construct,True,True,2,1,1,4,
qsi_011,trend_following,construct,True,True,2,1,1,4,
qsi_012,trend_following,construct,True,True,2,1,1,4,
qsi_013,trend_following,construct,True,True,2,1,1,4,
qsi_014,trend_following,construct,True,True,2,1,1,4,
qsi_015,trend_following,construct,True,True,2,1,1,4,
qsi_016,mean_reversion,construct,True,True,1,1,1,2,
qsi_017,mean_reversion,construct,True,True,1,1,1,2,
qsi_018,mean_reversion,construct,True,True,1,1,1,2,
qsi_019,mean_reversion,construct,True,True,1,1,1,2,
qsi_020,mean_reversion,construct,True,True,1,1,1,2,
qsi_021,mean_reversion,construct,True,True,1,1,1,2,
qsi_022,mean_reversion,construct,True,True,1,1,1,2,
qsi_023,mean_reversion,construct,True,True,1,1,1,2,
qsi_024,mean_reversion,construct,True,True,1,1,1,2,
qsi_025,mean_reversion,construct,True,True,1,1,1,2,
qsi_026,mean_reversion,construct,True,True,1,1,1,2,
qsi_027,mean_reversion,construct,True,True,1,1,1,2,
qsi_028,mean_reversion,construct,True,True,1,1,1,2,
qsi_029,mean_reversion,construct,True,True,1,1,1,2,
qsi_030,mean_reversion,construct,True,True,1,1,1,2,
qsi_031,momentum,construct,True,True,2,1,1,4,
qsi_032,momentum,construct,True,True,2,1,1,4,
qsi_033,momentum,construct,True,True,2,1,1,4,
qsi_034,momentum,construct,True,True,2,1,1,4,
qsi_035,momentum,construct,True,True,2,1,1,4,
qsi_036,momentum,construct,True,True,2,1,1,4,
qsi_037,momentum,construct,True,True,2,1,1,4,
qsi_038,momentum,construct,True,True,2,1,1,4,
qsi_039,momentum,construct,True,True,2,1,1,4,
qsi_040,momentum,construct,True,True,2,1,1,4,
qsi_041,risk_constrained,construct,True,True,2,1,1,4,
qsi_042,risk_constrained,construct,True,True,1,1,1,2,
qsi_043,risk_constrained,construct,True,True,2,1,1,4,
qsi_044,risk_constrained,construct,True,True,2,1,1,4,
qsi_045,risk_constrained,construct,True,True,2,1,1,4,
qsi_046,risk_constrained,construct,True,True,2,1,1,4,
qsi_047,risk_constrained,construct,True,True,2,1,1,4,
qsi_048,risk_constrained,construct,True,True,2,1,1,4,
qsi_049,risk_constrained,construct,True,True,2,1,1,4,
qsi_050,risk_constrained,construct,True,True,2,1,1,4,
qsi_051,risk_constrained,construct,True,True,1,1,1,2,
qsi_052,risk_constrained,construct,True,True,2,1,1,4,
qsi_053,risk_constrained,construct,True,True,2,1,1,4,
qsi_054,risk_constrained,construct,True,True,2,1,1,4,
qsi_055,risk_constrained,construct,True,True,2,1,1,4,
qsi_056,ambiguous_intent,clarify,False,True,0,0,0,0,"safe_action: Clarification required: entry_logic, exit_logic."
qsi_057,ambiguous_intent,clarify,False,True,0,0,0,0,"safe_action: Clarification required: entry_logic, exit_logic."
qsi_058,ambiguous_intent,clarify,False,True,0,0,0,0,"safe_action: Clarification required: entry_logic, exit_logic."
qsi_059,ambiguous_intent,clarify,False,True,0,0,0,0,"safe_action: Clarification required: entry_logic, exit_logic."
qsi_060,ambiguous_intent,clarify,False,True,0,0,0,0,"safe_action: Clarification required: entry_logic, exit_logic."
qsi_061,ambiguous_intent,clarify,False,True,0,0,0,0,"safe_action: Clarification required: entry_logic, exit_logic."
qsi_062,ambiguous_intent,clarify,False,True,0,0,0,0,"safe_action: Clarification required: entry_logic, exit_logic."
qsi_063,ambiguous_intent,clarify,False,True,0,0,0,0,"safe_action: Clarification required: entry_logic, exit_logic."
qsi_064,ambiguous_intent,clarify,False,True,0,0,0,0,"safe_action: Clarification required: entry_logic, exit_logic."
qsi_065,ambiguous_intent,clarify,False,True,0,0,0,0,"safe_action: Clarification required: entry_logic, exit_logic."
qsi_066,unsafe_request,reject,False,True,0,0,0,0,safe_action: Slot extractor marked the request as reject.
qsi_067,unsafe_request,reject,False,True,0,0,0,0,safe_action: Slot extractor marked the request as reject.
qsi_068,unsafe_request,reject,False,True,0,0,0,0,safe_action: Slot extractor marked the request as reject.
qsi_069,unsafe_request,reject,False,True,0,0,0,0,safe_action: Slot extractor marked the request as reject.
qsi_070,unsafe_request,reject,False,True,0,0,0,0,safe_action: Slot extractor marked the request as reject.
