case_id,category,method,should_reject,rejected,schema_valid,semantic_consistent,compile_success,backtest_success,risk_violation,repair_triggered,repair_success,safe_rejection_correct,clarification_requested,clarification_correct,end_to_end_success,errors
qsi_001,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,True,True,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.; risk_repair: Set risk_control.position_size to 0.40. Set risk_control.stop_loss to 0.05.
qsi_002,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,True,True,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.; risk_repair: Set risk_control.position_size to 0.40. Set risk_control.stop_loss to 0.05.
qsi_003,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_004,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,True,True,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.; risk_repair: Set risk_control.position_size to 0.40. Set risk_control.stop_loss to 0.05.
qsi_005,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_006,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_007,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,True,True,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.; risk_repair: Set risk_control.position_size to 0.40. Set risk_control.stop_loss to 0.05.
qsi_008,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_009,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,True,True,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.; risk_repair: Set risk_control.position_size to 0.40. Set risk_control.stop_loss to 0.05.
qsi_010,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,True,True,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.; risk_repair: Set risk_control.position_size to 0.40. Set risk_control.stop_loss to 0.05.
qsi_011,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,True,True,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.; risk_repair: Set risk_control.position_size to 0.40. Set risk_control.stop_loss to 0.05.
qsi_012,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,True,True,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.; risk_repair: Set risk_control.position_size to 0.40. Set risk_control.stop_loss to 0.05.
qsi_013,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,True,True,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.; risk_repair: Set risk_control.position_size to 0.40. Set risk_control.stop_loss to 0.05.
qsi_014,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.num_trades: The backtest has too few trades for a reliable sample.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_015,trend_following,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,True,True,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.; risk_repair: Set risk_control.position_size to 0.40. Set risk_control.stop_loss to 0.05.
qsi_016,mean_reversion,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,
qsi_017,mean_reversion,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.num_trades: The backtest has too few trades for a reliable sample.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_018,mean_reversion,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_019,mean_reversion,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,True,True,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.; risk_repair: Set risk_control.position_size to 0.40. Set risk_control.stop_loss to 0.05.
qsi_020,mean_reversion,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.num_trades: The backtest has too few trades for a reliable sample.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_021,mean_reversion,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_022,mean_reversion,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,True,True,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.; risk_repair: Set risk_control.position_size to 0.40. Set risk_control.stop_loss to 0.05.
qsi_023,mean_reversion,replay_route_b_slot_builder_risk_repair::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,
