case_id,category,method,should_reject,rejected,schema_valid,semantic_consistent,compile_success,backtest_success,risk_violation,repair_triggered,repair_success,safe_rejection_correct,clarification_requested,clarification_correct,end_to_end_success,errors
qsi_001,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_002,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_003,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_004,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_005,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_006,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_007,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_008,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_009,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_010,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_011,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_012,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_013,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_014,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.num_trades: The backtest has too few trades for a reliable sample.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_015,trend_following,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_016,mean_reversion,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,
qsi_017,mean_reversion,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.num_trades: The backtest has too few trades for a reliable sample.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_018,mean_reversion,replay_route_b_slot_builder::deepseek-v4-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
